カクテル名,ベース,割材,その他,ベースの割合,割材の割合,その他の割合,ベースの色,割材の色,その他の色,詳細
シャンディーガフ,ビール,ジンジャーエール,,1,1,,gold,yellowgreen,,
レッドアイ,ビール,トマトジュース,,1,1,,gold,tomato,,
ディーゼル,ビール,コーラ,,1,1,,gold,saddlebrown,,
ファジーネーブル,ピーチリキュール,オレンジジュース,,1,4,,pink,orange,,
ピーチウーロン,ピーチリキュール,ウーロン茶,,1,3,,pink,goldenrod,,
モスコミュール,ウォッカ,ライムジュース,ジンジャーエール,3,1,6,mediumblue,limegreen,yellowgreen,
ソルティドッグ,ウォッカ,グレープフルーツジュース,,3,4,,mediumblue,lightsalmon,,
カンパリ・ビア,ビール,カンパリ,,5,1,,gold,crimson,,
スプリッツァー,白ワイン,ソーダ,,3,2,,lemonchiffon,lightskyblue,,
キール,白ワイン,カシスリキュール,,4,1,,lemonchiffon,red,,
カーディナル,赤ワイン,カシスリキュール,,4,1,,mediumvioletred,red,,
キールロワイヤル,シャンパン,カシスリキュール,,4,1,,lemonchiffon,red,,
キティ,赤ワイン,ジンジャーエール,,1,1,,mediumvioletred,yellowgreen,,
オペレーター,白ワイン,ジンジャーエール,,1,1,,lemonchiffon,yellowgreen,,
カルーアミルク,カルーア,牛乳,,1,4,,sienna,floralwhite,,
カンパリオレンジ,カンパリ,オレンジジュース,,1,3,,crimson,orange,,
カンパリソーダ,カンパリ,ソーダ,,1,3,,crimson,lightskyblue,,
カシスオレンジ,カシスリキュール,オレンジジュース,,1,4,,red,orange,,
カシスソーダ,カシスリキュール,ソーダ,,1,4,,red,lightskyblue,,
ブラッディメアリー,ウォッカ,トマトジュース,レモン果汁,1,4,,mediumblue,tomato,lemonchiffon,レモン果汁は数滴です。
ジンリッキー,ジン,ソーダ,ライムジュース,2,1,4,red,lightskyblue,limegreen,
ジンバック,ジン,ジンジャーエール,レモンジュース,3,2,3,red,yellowgreen,lemonchiffon,
ブラッディ・サム,ジン,トマトジュース,,1,4,,red,tomato,,
カシスウーロン,カシスリキュール,ウーロン茶,,1,3,,red,goldenrod,,
パッソアソーダ,パッソア,ソーダ,,1,4,,orangered,lightskyblue,,
パッソアオレンジ,パッソア,オレンジ,,1,3,,orangered,orange,,
ウォッカトニック,ウォッカ,トニックウォーター,,1,3,,mediumblue,yellow,,
スクリュードライバー,ウォッカ,オレンジジュース,,1,2,,mediumblue,orange,,
